Year,Institute_Type,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,OPEN (PWD),GN,693.0,693.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,EWS,GN,3219.0,4153.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,EWS,F,4517.0,4517.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,OBC-NCL,GN,11327.0,16160.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,OBC-NCL,F,23601.0,25202.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,SC,GN,4147.0,5051.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,SC,F,5790.0,6149.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OPEN,GN,8877.0,9787.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OPEN,F,14453.0,16896.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OPEN (PWD),GN,443.0,443.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,EWS,GN,1601.0,1768.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,EWS,F,4660.0,4660.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OBC-NCL,GN,3105.0,3825.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OBC-NCL,F,8064.0,9196.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,OBC-NCL (PWD),GN,391.0,391.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,SC,GN,1751.0,2325.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,SC,F,3023.0,4118.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,ST,GN,1072.0,1206.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,OS,ST,F,1647.0,1647.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,OPEN,GN,26737.0,47476.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,OPEN,F,30157.0,39767.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,EWS,GN,8196.0,12795.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,EWS,F,9770.0,9770.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,OBC-NCL,GN,39563.0,63470.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,OBC-NCL,F,26708.0,52182.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,SC,GN,6740.0,10416.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,HS,SC,F,7132.0,16023.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OPEN,GN,21316.0,34845.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OPEN,F,35422.0,42191.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OPEN (PWD),GN,2162.0,2162.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,EWS,GN,5724.0,6361.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,EWS,F,7262.0,7262.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OBC-NCL,GN,9500.0,10970.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OBC-NCL,F,14310.0,19339.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,OBC-NCL (PWD),GN,962.0,962.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,SC,GN,4401.0,6289.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,SC,F,7946.0,9928.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,ST,GN,2125.0,2640.0,6
2020.0,NIT,NIT Jalandhar,ICE (BTech),4,OS,ST,F,5472.0,5472.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,OPEN,GN,19365.0,38914.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,OPEN,F,42703.0,57517.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,EWS,GN,6882.0,8673.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,EWS,F,10106.0,10106.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,OBC-NCL,GN,13301.0,42059.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,OBC-NCL,F,26848.0,64220.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,SC,GN,6013.0,9085.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,HS,SC,F,11930.0,14503.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OPEN,GN,19898.0,26438.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OPEN,F,33605.0,42667.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OPEN (PWD),GN,1468.0,1468.0,6
