Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,OPEN (PwD),GN,1786.0,1786.0,6
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,EWS,GN,7346.0,8090.0,6
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,OBC-NCL,GN,14275.0,16111.0,6
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,SC,GN,7943.0,9986.0,6
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,ST,GN,3306.0,3867.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OPEN,GN,8921.0,15413.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OPEN,F,16011.0,22584.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OPEN (PwD),GN,489.0,792.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OPEN (PwD),F,1097.0,1097.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,EWS,GN,2467.0,2847.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,EWS,F,3900.0,4610.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,EWS (PwD),GN,119.0,119.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OBC-NCL,GN,3389.0,5892.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OBC-NCL,F,6765.0,11802.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OBC-NCL (PwD),GN,366.0,498.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,OBC-NCL (PwD),F,1042.0,1042.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,SC,GN,2647.0,3816.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,SC,F,5157.0,6547.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,ST,GN,1488.0,2359.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,ST,F,2381.0,2994.0,6
2020.0,IIITDMJ,CSE (BTech),4,AI,ST (PwD),GN,66.0,66.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OPEN,GN,15742.0,24558.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OPEN,F,24385.0,29768.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OPEN (PwD),GN,1438.0,1665.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,EWS,GN,4141.0,4606.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,EWS,F,4948.0,4948.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,EWS (PwD),GN,269.0,269.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OBC-NCL,GN,5910.0,8438.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OBC-NCL,F,12428.0,15696.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,OBC-NCL (PwD),GN,854.0,854.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,SC,GN,2875.0,5229.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,SC,F,6705.0,7012.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,ST,GN,2454.0,2997.0,6
2020.0,IIITDMJ,ECE (BTech),4,AI,ST,F,2902.0,2902.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OPEN,GN,27179.0,35762.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OPEN,F,41326.0,44241.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OPEN (PwD),GN,1899.0,1899.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,EWS,GN,5903.0,6589.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,EWS,F,7948.0,7948.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OBC-NCL,GN,9169.0,12471.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OBC-NCL,F,18486.0,19540.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,OBC-NCL (PwD),GN,859.0,859.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,SC,GN,5394.0,6320.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,SC,F,10153.0,10153.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,ST,GN,2266.0,3041.0,6
2020.0,IIITDMJ,ME (BTech),4,AI,ST,F,5518.0,5518.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,OPEN,GN,36763.0,45516.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,OPEN,F,36271.0,42489.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,EWS,GN,7503.0,8221.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,EWS,F,8220.0,8220.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,OBC-NCL,GN,13076.0,16100.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,OBC-NCL,F,19657.0,20401.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,SC,GN,7922.0,9947.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,SC,F,11159.0,11159.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,ST,GN,3712.0,4159.0,6
2020.0,IIITDMJ,SM (BTech),4,AI,ST,F,6131.0,6131.0,6
2020.0,IIITM,CSE (BTech),4,AI,OPEN,GN,36557.0,41632.0,6
2020.0,IIITM,CSE (BTech),4,AI,EWS,GN,6895.0,7026.0,6
2020.0,IIITM,CSE (BTech),4,AI,OBC-NCL,GN,14047.0,15500.0,6
2020.0,IIITM,CSE (BTech),4,AI,SC,GN,9103.0,9951.0,6
2020.0,IIITM,CSE (BTech),4,AI,ST,GN,4696.0,5231.0,6
2020.0,IIITM,ECE (BTech),4,AI,OPEN,GN,41913.0,45452.0,6
2020.0,IIITM,ECE (BTech),4,AI,EWS,GN,7571.0,7916.0,6
2020.0,IIITM,ECE (BTech),4,AI,OBC-NCL,GN,13420.0,16565.0,6
2020.0,IIITM,ECE (BTech),4,AI,SC,GN,9624.0,10709.0,6
2020.0,IIITM,ECE (BTech),4,AI,ST,GN,5524.0,6065.0,6
2020.0,IIITS,CSE (BTech),4,AI,OPEN,GN,10294.0,21358.0,6
2020.0,IIITS,CSE (BTech),4,AI,OPEN,F,16151.0,16151.0,6
2020.0,IIITS,CSE (BTech),4,AI,OPEN (PwD),GN,1105.0,1105.0,6
2020.0,IIITS,CSE (BTech),4,AI,EWS,GN,3588.0,3976.0,6
2020.0,IIITS,CSE (BTech),4,AI,OBC-NCL,GN,7337.0,9325.0,6
2020.0,IIITS,CSE (BTech),4,AI,OBC-NCL,F,10335.0,10335.0,6
